Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs),State,District,Latitude,Longitude
32,2007 (2004),6,Madhya Pradesh,Dewas,11923,14279,34.28,34.54,10648,12603,30.62,30.48,12207,14465,35.1,34.99,34778,41346,28,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157
32,2008 (2004),6,Madhya Pradesh,Dewas,13185,17658,33.72,34.93,12734,16159,32.57,31.97,13178,16729,33.71,33.1,39096,50546,34,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157
32,2009 (2004),6,Madhya Pradesh,Dewas,15740,23225,35.75,38.53,13478,17655,30.62,29.29,14805,19402,33.63,32.19,44023,60282,40,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157
32,2010 (2004),6,Madhya Pradesh,Dewas,14922,24538,32.86,36.26,14320,20133,31.54,29.75,16167,23003,35.6,33.99,45409,67673,44,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157
32,2011 (2004),6,Madhya Pradesh,Dewas,17630,31220,35.99,39.39,14103,21471,28.79,27.09,17250,26558,35.22,33.51,48983,79249,51,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157
32,2012 (2004),6,Madhya Pradesh,Dewas,20836,40854,38.61,42.64,14777,24135,27.38,25.19,18349,30832,34.0,32.18,53962,95821,60,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157
32,2013 (2004),6,Madhya Pradesh,Dewas,25524,56980,41.52,47.38,15835,27497,25.76,22.87,20112,35773,32.72,29.75,61471,120250,74,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157
33,2007 (2004),6,Madhya Pradesh,Dhar,14371,17204,33.3,33.48,11163,13162,25.87,25.61,17616,21024,40.83,40.91,43150,51389,26,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698
33,2008 (2004),6,Madhya Pradesh,Dhar,16368,21913,33.46,34.6,13506,17025,27.61,26.88,19047,24396,38.93,38.52,48921,63335,31,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698
33,2009 (2004),6,Madhya Pradesh,Dhar,16839,24846,31.83,34.28,14754,19155,27.89,26.43,21303,28485,40.27,39.3,52896,72486,35,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698
